D_hub_cap,run_index,seed,hub_final_stability,hub_min_stability,peripheral_failure_rate,peripheral_failure_peak,sustained_ignition_observed,ignition_onset_step,ignition_duration_steps,final_cooperation,final_trust,collapsed
0.3,15,57,0.4024708698834835,0.3466129348545394,0.1627118644067797,0.3389830508474576,0,,0,0.9191414549686489,0.9191414549686489,0
0.3,16,58,0.9884916411356479,0.8871314063790339,0.9528813559322034,1.0,1,10,140,0.09212755637771468,0.09212755637771468,1
0.3,17,59,0.4618461121363656,0.3735854909207116,0.1997740112994351,0.5084745762711864,0,,0,0.8765559488242549,0.8765559488242549,0
0.3,18,60,0.9895255536863133,0.8988818113603426,0.9524293785310735,1.0,1,10,140,0.09285362634135466,0.09285362634135466,1
0.3,19,61,0.9693617434433821,0.8937370728632523,0.9542372881355933,1.0,1,10,140,0.09965862655012075,0.09965862655012075,1
0.3,20,62,0.9801186642804041,0.9000229572759115,0.9551412429378532,1.0,1,10,140,0.09462074170146574,0.09462074170146574,1
0.3,21,63,0.4497963509270549,0.36125927441819694,0.2032768361581919,0.5084745762711864,0,,0,0.8821925529191557,0.8821925529191557,0
0.3,22,64,0.9923367420910433,0.8862316163318187,0.9517514124293786,1.0,1,10,140,0.09025131786284198,0.09025131786284198,1
0.3,23,65,0.9549592237683068,0.8912269707971273,0.9526553672316385,1.0,1,10,140,0.09611855381031151,0.09611855381031151,1
0.3,24,66,0.9968058947632299,0.8968167584899874,0.9537853107344633,1.0,1,10,140,0.10005805763702004,0.10005805763702004,1
0.3,25,67,0.3947955541699541,0.357981144881801,0.1978531073446326,0.3559322033898305,0,,0,0.8930596659182183,0.8930596659182183,0
0.3,26,68,0.9933149855254619,0.88540830109372,0.952316384180791,1.0,1,10,140,0.08895463126139787,0.08895463126139787,1
0.3,27,69,0.4139458707388577,0.3604498626092772,0.2384180790960452,0.5084745762711864,0,,0,0.8927126999328433,0.8927126999328433,0
0.3,28,70,0.4352401265235926,0.3568365929400224,0.1946892655367232,0.3728813559322034,0,,0,0.8413941610310218,0.8413941610310218,0
0.3,29,71,0.982139354452901,0.8954057202599153,0.951412429378531,1.0,1,11,139,0.0973788443665234,0.0973788443665234,1
0.2,0,42,0.9895353947342674,0.8687019362326965,0.9451977401129943,1.0,1,12,138,0.12834382446985756,0.12834382446985756,1
0.2,1,43,0.9929789238293067,0.8937393228016234,0.9508474576271186,1.0,1,10,140,0.13705158122169833,0.13705158122169833,1
0.2,2,44,0.9955543808418654,0.8865113762975868,0.9515254237288134,1.0,1,10,140,0.13749511738223705,0.13749511738223705,1
0.2,3,45,0.9843378048446437,0.903111290885096,0.9494915254237287,1.0,1,10,140,0.12686508194047827,0.12686508194047827,1
0.2,4,46,0.995246704790415,0.9033411893227149,0.9494915254237287,1.0,1,11,139,0.11921833214156916,0.11921833214156916,1
0.2,5,47,0.4569350669830671,0.3708053239083685,0.16056497175141246,0.4745762711864407,0,,0,0.8860293606410211,0.8860293606410211,0
0.2,6,48,0.985154949981709,0.8921611865650613,0.9480225988700564,1.0,1,11,139,0.12022951974500849,0.12022951974500849,1
0.2,7,49,0.4737275625972266,0.3652092999534835,0.16282485875706224,0.3898305084745763,0,,0,0.8871004481401271,0.8871004481401271,0
0.2,8,50,0.9972081108603108,0.8979144123634802,0.9487005649717514,1.0,1,11,139,0.11476324518894104,0.11476324518894104,1
0.2,9,51,0.999999761958453,0.9011278137479497,0.946553672316384,1.0,1,12,138,0.11827642157328923,0.11827642157328923,1
0.2,10,52,0.9938127602683204,0.89202137136472,0.9472316384180791,1.0,1,12,138,0.12084491250201045,0.12084491250201045,1
0.2,11,53,0.996674554491878,0.8906399702606187,0.9453107344632767,1.0,1,12,138,0.12517742019890263,0.12517742019890263,1
0.2,12,54,0.9950275308606045,0.8879996678449005,0.9427118644067796,1.0,1,12,138,0.11697734071876441,0.11697734071876441,1
0.2,13,55,0.503330669521704,0.37204859231802623,0.14067796610169506,0.3898305084745763,0,,0,0.8923555049083302,0.8923555049083302,0
