scenario,profile,run_index,seed,topology_initial,trigger_A_count,trigger_A_first_step,trigger_A_source,psi_weight_profile,psi_threshold
mixed_hia_identity,high_stress,1,9591,ring_mesh,132,28,C04_S_THRESHOLD,,0.3
mixed_hia_identity,high_stress,2,9592,ring_mesh,131,29,C04_S_THRESHOLD,,0.3
mixed_hia_identity,high_stress,3,9593,ring_mesh,132,28,C04_S_THRESHOLD,,0.3
mixed_hia_identity,high_stress,4,9594,ring_mesh,130,30,C04_S_THRESHOLD,,0.3
mixed_hia_identity,high_stress,5,9595,ring_mesh,130,30,C04_S_THRESHOLD,,0.3
mixed_hia_identity,high_stress,6,9596,ring_mesh,131,29,C04_S_THRESHOLD,,0.3
mixed_hia_identity,high_stress,7,9597,ring_mesh,132,28,C04_S_THRESHOLD,,0.3
mixed_hia_identity,high_stress,8,9598,ring_mesh,130,30,C04_S_THRESHOLD,,0.3
mixed_hia_identity,high_stress,9,9599,ring_mesh,132,28,C04_S_THRESHOLD,,0.3
governance_capture,low_stress,0,9600,ring_mesh,48,112,C04_S_THRESHOLD,,0.3
governance_capture,low_stress,1,9601,ring_mesh,48,112,C04_S_THRESHOLD,,0.3
governance_capture,low_stress,2,9602,ring_mesh,49,111,C04_S_THRESHOLD,,0.3
governance_capture,low_stress,3,9603,ring_mesh,49,111,C04_S_THRESHOLD,,0.3
governance_capture,low_stress,4,9604,ring_mesh,48,112,C04_S_THRESHOLD,,0.3
governance_capture,low_stress,5,9605,ring_mesh,47,113,C04_S_THRESHOLD,,0.3
governance_capture,low_stress,6,9606,ring_mesh,48,112,C04_S_THRESHOLD,,0.3
governance_capture,low_stress,7,9607,ring_mesh,49,111,C04_S_THRESHOLD,,0.3
governance_capture,low_stress,8,9608,ring_mesh,47,113,C04_S_THRESHOLD,,0.3
governance_capture,low_stress,9,9609,ring_mesh,49,111,C04_S_THRESHOLD,,0.3
governance_capture,mid_stress,0,9610,ring_mesh,61,99,C04_S_THRESHOLD,,0.3
governance_capture,mid_stress,1,9611,ring_mesh,63,97,C04_S_THRESHOLD,,0.3
governance_capture,mid_stress,2,9612,ring_mesh,63,97,C04_S_THRESHOLD,,0.3
governance_capture,mid_stress,3,9613,ring_mesh,61,99,C04_S_THRESHOLD,,0.3
governance_capture,mid_stress,4,9614,ring_mesh,60,100,C04_S_THRESHOLD,,0.3
governance_capture,mid_stress,5,9615,ring_mesh,62,98,C04_S_THRESHOLD,,0.3
governance_capture,mid_stress,6,9616,ring_mesh,62,98,C04_S_THRESHOLD,,0.3
governance_capture,mid_stress,7,9617,ring_mesh,63,97,C04_S_THRESHOLD,,0.3
governance_capture,mid_stress,8,9618,ring_mesh,63,97,C04_S_THRESHOLD,,0.3
governance_capture,mid_stress,9,9619,ring_mesh,61,99,C04_S_THRESHOLD,,0.3
governance_capture,high_stress,0,9620,ring_mesh,131,29,C04_S_THRESHOLD,,0.3
governance_capture,high_stress,1,9621,ring_mesh,130,30,C04_S_THRESHOLD,,0.3
governance_capture,high_stress,2,9622,ring_mesh,131,29,C04_S_THRESHOLD,,0.3
governance_capture,high_stress,3,9623,ring_mesh,132,28,C04_S_THRESHOLD,,0.3
governance_capture,high_stress,4,9624,ring_mesh,130,30,C04_S_THRESHOLD,,0.3
governance_capture,high_stress,5,9625,ring_mesh,130,30,C04_S_THRESHOLD,,0.3
governance_capture,high_stress,6,9626,ring_mesh,132,28,C04_S_THRESHOLD,,0.3
governance_capture,high_stress,7,9627,ring_mesh,131,29,C04_S_THRESHOLD,,0.3
governance_capture,high_stress,8,9628,ring_mesh,131,29,C04_S_THRESHOLD,,0.3
governance_capture,high_stress,9,9629,ring_mesh,132,28,C04_S_THRESHOLD,,0.3
trigger_b_deadlock,low_stress,0,9630,ring_mesh,107,53,C04_S_THRESHOLD,,0.3
