run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
85,126,scale-free,500,True,True,0.887,1.0,1.0,40,14,0.788,0.417,12,5,0.1,0.675,0.604,6,6,1.0,0.314,90.0,105,0.265,0.198,0.265,100,0,,,0,False,True,0.0,none,0,0,0
86,127,scale-free,500,True,True,0.904,1.0,1.0,42,22,0.377,0.611,18,11,0.1,0.723,0.642,6,6,1.0,0.191,90.0,110,0.25,0.181,0.25,100,0,,,0,False,True,0.0,none,0,0,0
87,128,scale-free,500,True,True,0.947,1.0,1.0,29,12,0.843,0.5,4,2,0.1,0.738,0.641,6,6,1.0,0.409,90.0,93,0.329,0.239,0.329,100,0,,,0,False,True,0.0,none,0,0,0
88,129,scale-free,500,True,True,0.944,1.0,1.0,40,14,0.758,0.5,10,5,0.1,0.752,0.663,6,6,1.0,0.323,93.333,102,0.285,0.197,0.285,100,0,,,0,False,True,0.0,none,0,0,0
89,130,scale-free,500,True,True,0.943,1.0,1.0,45,16,0.779,0.4,10,4,0.1,0.776,0.679,6,6,1.0,0.355,90.0,110,0.27,0.18,0.27,100,0,,,0,False,True,0.0,none,0,0,0
90,131,scale-free,500,True,True,0.921,1.0,1.0,50,17,0.333,0.462,13,6,0.1,0.718,0.637,6,6,1.0,0.322,90.0,115,0.225,0.15,0.225,100,0,,,0,False,True,0.0,none,0,0,0
91,132,scale-free,500,True,True,0.924,1.0,1.0,47,14,0.703,0.667,15,10,0.1,0.733,0.647,6,6,1.0,0.337,90.0,113,0.219,0.133,0.219,100,0,,,0,False,True,0.0,none,0,0,0
92,133,scale-free,500,True,True,0.894,1.0,1.0,54,23,0.441,0.154,13,2,0.1,0.716,0.643,6,6,1.0,0.276,90.0,123,0.201,0.124,0.201,100,0,,,0,False,True,0.0,none,0,0,0
93,134,scale-free,500,True,True,0.912,1.0,1.0,39,18,0.585,0.643,14,9,0.1,0.728,0.646,6,6,1.0,0.241,90.0,103,0.273,0.193,0.273,100,0,,,0,False,True,0.0,none,0,0,0
94,135,scale-free,500,True,True,0.944,1.0,1.0,48,12,0.794,0.474,19,9,0.1,0.731,0.639,6,6,1.0,0.443,90.0,120,0.257,0.173,0.257,100,0,,,0,False,True,0.0,none,0,0,0
95,136,scale-free,500,True,True,0.926,1.0,1.0,41,17,0.515,0.562,16,9,0.1,0.728,0.641,6,6,1.0,0.317,90.0,101,0.259,0.191,0.259,100,0,,,0,False,True,0.0,none,0,0,0
96,137,scale-free,500,True,True,0.954,1.0,1.0,34,14,0.786,0.462,13,6,0.1,0.772,0.671,6,6,1.0,0.333,90.0,99,0.303,0.219,0.303,100,0,,,0,False,True,0.0,none,0,0,0
97,138,scale-free,500,True,True,0.933,1.0,1.0,35,8,0.896,0.3,10,3,0.1,0.735,0.633,6,6,1.0,0.37,90.0,100,0.287,0.197,0.287,100,0,,,0,False,True,0.0,none,0,0,0
98,139,scale-free,500,True,True,0.6,1.0,1.0,44,45,0.2,0.5,28,14,0.1,0.479,0.475,6,6,1.0,0.0,90.0,110,0.21,0.154,0.21,100,0,,,0,False,True,0.0,none,0,0,0
99,140,scale-free,500,True,True,0.914,1.0,1.0,37,13,0.766,0.647,17,11,0.1,0.743,0.665,6,6,1.0,0.31,90.0,104,0.286,0.211,0.286,100,0,,,0,False,True,0.0,none,0,0,0
100,141,scale-free,500,True,True,0.917,1.0,1.0,46,10,0.836,0.167,12,2,0.1,0.716,0.634,6,6,1.0,0.398,90.0,116,0.231,0.153,0.231,100,0,,,0,False,True,0.0,none,0,0,0
